iter	Passed	Remaining
0	1	183
1	3	187
2	5	163
3	6	144
4	9	176
5	10	164
6	11	155
7	15	172
8	16	162
9	16	151
10	17	142
11	19	142
12	20	138
13	21	132
14	22	126
15	23	120
16	24	117
17	26	118
18	26	114
19	27	111
20	28	107
21	29	105
22	31	106
23	32	103
24	33	100
25	34	97
26	36	97
27	37	96
28	38	94
29	39	91
30	40	90
31	42	90
32	43	88
33	44	85
34	45	83
35	47	83
36	48	82
37	49	80
38	49	78
39	50	76
40	52	75
41	53	73
42	54	72
43	55	70
44	57	70
45	58	69
46	59	67
47	60	65
48	62	64
49	64	64
50	65	62
51	66	61
52	67	59
53	69	58
54	70	57
55	70	55
56	71	54
57	73	53
58	74	52
59	75	50
60	76	48
61	77	47
62	79	46
63	80	45
64	81	43
65	82	42
66	84	41
67	85	40
68	86	38
69	86	37
70	87	35
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	104	18
85	106	17
86	107	16
87	109	14
88	111	13
89	112	12
90	113	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	122	1
99	123	0
